Rating,Review
5,"Highly recommended! On-time and quick and efficient with the job! Excellent service with very reasonable prices. I am very happy with their service, attitude, and prices."
5,"Extremely satisfied with their service. I want to specially commend Rasel for his excellent work, patience and professionalism. He took time to address our concerns succinctly and even helped clean up after the installation! And they were on time too, which is sadly rare these days so kudos for a job very well done. Rasel, you are such a credit to your profession! Thank you so much! Will definitely recommend them!"
5,"The technicians were able to diagnose the issue very quickly and did a fantastic job in helping us to restore our lighting and fan due to some wire that were loose. Despite during Covid19 they did not jack up their prices and respone very quickly to my request. Value for money. Honest, friendly and quick. Thumbs up and strongly recommend to engage their services. Thank you guys. You guys did a great job. Deeply appreciate and grateful."
5,"When I contacted Amos about my problem, he can tell me the possible issue and solution. This means knowledge. Omar and Rasel, who came to fix my problem, are very knowleagable and professional. They are friendly and completed the job in time. I would definitely contact them again when it comes to electrical in my home. Thank you team."
5,"Engaged them recently for cabling / wiring works for my water heater. They also helped to replace my old DB. A friendly team of 3 came - Amos, Rusel and Nicholas. Job was done properly and they were very helpful in all aspects. Will definitely recommend to my friends who need to do electrical works."
5,"Got an appointment fast. Rasel and his colleague are very professional, and even went the extra mile to help as the previous contractor from another company didn't do a good job. Gave good advice too. Charges are very reasonable. Will highly recommend"
5,"Excellent help from Amos and Rasel. My new go-to guys for anything electrical now! Amos was super responsible, calling me several times to give me detailed updates on the situation. Expressed much concern and commitment for our situation. They definitely set our mind at ease and provided us a thorough solution. Thanks guys!"
5,Fast and easy to deal via Whatsapp. Very responsive. Almost instant quotation to address my flickering LED light. Could schedule job within 1 hour. But I requested for next morning. Electrician completed the job within 10 mins : ) Highly recommended.
5,"Amos & his team are knowledgeable, professional and friendly. They came out promptly when we called and were able to isolate & resolve our issues. Very pleased with their service in helping us restore our electrical supply. Highly recommended."
5,"Repair.sg has fixed many lights and switches in my home! Very professional and friendly team (especially Kai)! Also, very good value for money especially for their high quality services! Would recommend them to anyone! Best company in Singapore! :D"
5,Amus was prompt in replying to my queries. The technicians/workers were also very professional and did a good job. Will definitely engage the services again if needed.
5,"They arrived at my place within an hour of the appointment window, knew exactly what needed to be done and finished the job quickly and efficiently. Highly recommended!"
5,"Very transparent, honest and straightforward way to do business. Workers are helpful and polite. Highly recommended."
5,"They know what they are doing, will definitely recommend to my friends, thank you"
5,The team is punctual to the appointment and professional in their services. Their services are reasonably priced and they are very helpful in answering any queries. Great job!
5,"The team is professional, responsive, experienced and prompt in their work. They arrived on time, very polite and able to rectify issue and give advice on other electrical enquiry. Highly recommended and will certainly use their service again in the future. Well done Mark, Zames and Omar!"
5,"They installed my ventilation fan in the toilets, was fast and efficient in arranging things with them,shout out to mark who expedite everything! I will definitely engage their services again if need be! Well done guys!"
5,"I used the service two times, and both times I called and WhatsApped and they were very responsive. The electricians who came to my house were communicative and professional, very thorough in their work, and gave good advice! Highly recommend."
5,Great service. Provide excellent advise over the phone.
5,Clearly know their stuff and were able to provide good advice. Honest and transparent pricing. Fuss free engagement. Definitely recommending them to all my peers.
5,"Job done very efficiently, both technical staffs are friendly and patient with our requests. Very satisfied with the job done. Will definitely recommend their service to others. Thanks. "
5,"Thank you to Paul and the team. They help with light fixing, very professional, punctual and efficient. Five stars service with reasonable price. Highly recommended"
5,"Polite, patient friendly and professional. Rasel and Rahaman were able to isolate the issues and explain clearly the fault. Where impossible to rectify, they were able to provide reasons. They found the main issue in toilet and solve a long standing issue. Highly recommend them and the company."
5,Called them in on short notice to reinstall a couple of my power sockets after some built-in furniture was removed. Professional and more importantly the amount they charged was very reasonable unlike other vendors which quoted more than double the price. Definitely will contact them again in the future for electrical repairs
5,Highly recommended! My bathroom lights fused and they came down the next day to fix it! Response was quick and prices are reasonable. Electricians were also very professional!
5,"Needed to replace my stove 20A switch , and readjust the length of our dining room hanging pendant lights. Repair.sg not only responded quickly to my queries but came punctually . Both Kai and Rasel were not only professional in handling the work , they were quick to deliver and very polite too. We will definitely call them again anytime we need help in this area."
5,"The specialist here are professional, courteous and knowledgeable. I had a great experience with their prompt and friendly service. Will definitely recommend them! Thank you, Kai."
5,"Extremely fast response time and highly professional with great workmanship. Highly recommand for any electrical repair needs, and good value for money as well! Two thumbs up!"
5,"This is my second time engaging their services to fix my lights :) fast, efficient and good workmanship! Will definitely be my goto for future repairs!"
5,"Fast, efficient, friendly and very helpful! Definitely will use them again :)"
5,"Repair.sg turned up on time, were super efficient and fixed our electrical problems so we didn't have to spend a long weekend without hot water or airconditioning. Highly recommended."
5,"Neat , Tidy , Efficient ! Excellent job ! Thanks Amos & Rasel !"
5,Very helpful and professional! Im very impressed by how the company is willing to help out over the phone even though theyre busy and cant come over urgently. Have saved their number for future repairs and will definitely call them for my office or home repairs.
5,The technicians changed my light and socket very skillfully. The price is also affordable. I would definitely recommend Repair.sg to anyone who wants to do home repairs and is looking for a trustworthy technician.
5,"Repair.sg was very responsive and provided excellent service - I contacted them in the morning and they came within 1-2hours! It was a breeze communicating with them, and they were also very accommodating (they can replace bulbs only if you have your own bulbs). Very pleased with their service - would not hesitate to recommend them!"
5,"We are very impressed by Repair.sg services. They are very punctual which is important because I have met handy man who give u a range of timing and will come at last min or worst even change the timing. we bought the light from Ikea and they even helped us to remove the old lightings and pack nicely into a box. We will definitely recommend Repair.sg to anyone needed help on light fixture or any other electrical services. They are very neat, systematic, friendly and professional. Basically can't name any bad stuff about them."
5,"They replied my queries promptly and arrived on time. All issues were rectified and the workers were careful, respectful and professional. Definitely will recommend this company. Tq"
5,"The power went out and I didn't know how to use my electrical switch panel thingy so I called the repairs person out of desperation. They answered my call very fast and were very polite, they also gave me very clear instructions on WhatsApp. The issue was resolved very quickly. If I were to have any other electrical outage issues, I wld definitely call them down to help me fix."
5,Love it. Friendly service esp the boss! will definitely get their service again.
5,Engaged Repair.SG for cove lighting replacements and light switches replacements.. Reasonably priced with excellent workmanship! Service is awesome! Would recommend them to my friends!
5,"Omar and Nicholas were excellent, same day service, friendly and efficient in their repair of my burnt out socket. Couldn't ask for more :)"
5,"Great service and prompt turnaround. Very professional and competent staff, they sorted out tripping of my junction box fairly quickly."
5,Very prompt service from when I enquired. Came within 1.5 hours to fix my issue. Highly recommend.
5,Excellent & prompt service. Amos is your guy for any house repairs in SG
5,"Prompt, professional and cheerful service. Highly recommend!"
5,Boss of SG Repair had provided a great excellent service. Just a call and with professional advice given over the phone. I decided to go ahead with diagnostics and without second thoughts. I get them to proceed with the repair even there is one miscommunication somewhere. They provide honest and on time delivery service. Will use their service again.
5,"Prompt reply to my whatsapp query. Friendly and professional service by the team (Rasel, Lim and Omar). Good pricing too. Very happy with their service. Will definitely recommend to friends and re-engaged their services."
5,Pleasant experience…great job
5,"My house has electricity shock and circuit was cut off. Eventhough today is National Day and close for the day, they still guide me through with whatsapp and finallly can solve the issue. Thankyou so much for prompt help and I really appreciate the service. Highly recommended for all kind of electricity services."
5,Referred by ikea. Extremely wonderful service by Rasel and his buddy. Cant believe they installed 2 lights effortlessly. The prices are extremely great. This will be my go to electrician from now on.
5,"Great services provided by them. Very responsive & patience about my enquires. Great workmanship, neat & fast installation. Very friendly staff too. Veey happy & satisfied with them. Thank you so much boss"
5,Really great services and very professional and great quality work. Very affordable too.
5,Great n professional.. keep it up guys
5,Excellent.
5,Thank for the fast service and great job !
5,I contacted them via Whatsapp they were super (Responsive). They offered to do the repairs even on the same day (Fast). Nic and his technician came down (On time) Repaired 3 points in under 15 mins (Fast & Professional) They even helped be troubleshoot another issue (Good value) They even used Schneider switches which I prefer (Quality) Most importantly they were friendly and cheerful! (Good Service) Happy I picked them!
5,First time using their service to do cable/power socket extension in living room to dining area. The team was friendly and helpful. Happy with the work done! Will definitely use their services again in future
5,We have an electrical issue and was handled very well from Amos and the on-site Nicholas team who came to resolve it promptly. We do not provide much details (circuit breaker connectivity diagram) on the issue but they are patient and understanding and diagnose the issue from our feedback. The issue was resolved within half an hour. Highly recommended for their reasonable pricing and prompt and friendly service. Tks
5,I needed help on a Sunday and Paul of Repair.sg was very and responsive. Got my burned out wall power point replaced the next day! Repair.sg was very professional and super quick. Highly recommended!
5,"The team Rasel and Amos arrived on time and settled my new ceiling fans, new tracking lights and broken sockets perfectly and professionally. Definitely will recommend Repair.sg to anyone looking to get similar tasks done up :)"
5,Great service at very reasonable prices and amazing workmanship by Darryl and Paul. Very patient and hardworking as well
5,Fast and fuss free service. Will definitely engage them for services next time.
5,"I had an issue of a burnt socket. Searched in the internet for 24 hour electrician this company was shown in my phone. I texted and called the person in charge ( Paul ) within the same day a technician was send to my house to fix the issue in less than 25 mins. It was smooth and efficient. Overall great experience from this company. This is my review, responsive : 10/10 efficient: 10/10 communication: 10/10 price : $$/$$ really happy.. thank you Paul & repairs . Sg"
5,"Responsive via WhatsApp. Helpful recommendation on my issue. Very considerate. On time with the set schedule, within the day I inquire actually. Quick installation of ceiling LED. Highly recommended service. "
5,"Great efficient service, helpful staff with great communication and willing to accommodate to your convenience! Thanks for making it such a smooth process"
5,"Very prompt service ,excellent fitting ,professional work and so very polite"
5,Great service and responsive
5,"The workmanship is excellent, with high degree of patience, and detailed execution. The outcome of our bathroom exhaust fans installation is awesome. Thanks to the Sales Person as well in responding to my queries promptly, even on a weekend."
5,"Fast response. Friendly, polite and skillful technicians. Did a fast and good job."
5,"1. Service experience was awesome. Friendly, knowledgeable and professional. 2. Rates for maintenance service was very reasonable in view of awesome workmanship and overall experience. Definitely would recommend for future engagement of services pertaining to maintenance and repairs."
5,Professional service by their Team for installation. Will recommend friends in future. Keep up e good job!
5,Darrel & Zames were very professional and polite. They produce good results on a timely manner. Good service rendered.
5,Very quick response rate and excellent service. Comes at a reasonable price and the professionals are very friendly. Have already recommended to friends!
5,"Repair.sg was fast and responsive in replying to my query, contacting me within 10 minutes. They offered a quick and accurate diagnosis of the problem, helping me to fix it quickly. They were also patient, pleasant and professional in their service."
5,Nic and Hossian were very friendly and professional! I would recommended them!
5,Very polite technician and good job done
5,had a ventilation fan installed by duo zames and omar today. ive dealt with many people in the course of renovating and repair my house and i have to say zames was the most polite guy ive ever encountered. great job done by them too. im very satisfied and would not hesistate engaging their services again if the opportunity arises.
5,"Needed to replace a switch for the hob plate / oven. My old contractor quoted me $180. These guys here did it for $100. The electrician showed up within a few hours, was very polite, quick and efficient. Also great comms over the phone / WhatsApp. Would not hesitate to ask them to help me again. Very satisfied! "
5,On time and great service!
5,God has answer my prayers. I made a random search on google and he sent me a wonderful team led by Paul. Not only did they dispel the worry of cut throat practises but they display understanding of my feelings. They solved my electrical issues without problems with no mumbo jumbo and the charges were reasonable to the extreme. I high recommend Paul and his team. God bless them
5,Amos and Rasel were really knowledgeable and professional. They were able to pinpoint the issue immediately and fixed it. They carry themselves really well too and are very helpful and friendly. Keep it up!
5,Rasel and Rahaman were very professional and measured everything to accuracy. Thankful to them for helping us set up our ventilation fans in the toilets. A job well done.
5,Very friendly and responsive. Give good recommendations as well. The ground staffs are pretty professional too.
5,"Very good service and skilled technician, helped me with an urgent issue."
5,"I engaged Repair.sg for home electrical repairs and I do think they are deserving of praise. Quality components were used during the repair (connectors instead of tape etc) gives more assurance that the repairs will last longer. Also, the technicians (Darrell and Zames) were meticulous and displayed competence in their work. All in all, happy customer here and will look for your company for future house repairs!"
5,"I was very lucky to have randomly googled this service provider and managed to speak to the boss, Paul. He was very courteous and patient, and gave me good & valuable advice. He also sent me photos to help me decide what I want to do. All these were done spontaneously without any commitment from me that I was giving him the job. Though he was running a very tight schedule, he sent his team to attend to the electrical works at my place within 2-3 days. The team of 2 who turned up to do the work were really good guys - its service with a smile! They were punctual, respectful, well mannered and most of all, they were very focused and worked efficiently, and quickly. These gentlemen know their work very well. Their charges were very reasonable - I am indeed very happy with their service, their attitude, and their prices. I will be getting them back to do more work as I wanted to try them out first. I am a very satisfied customer and rate them"
5,Amos was knowledgeable and skilful. My experience with him was pleasant and transparent. Will definitely reach out to him again for my electrical needs.
5,Service was quick to respond and came down to fix my power socket issue within a few of hours from my message. Hossain was very quick in fixing the faulty power socket switch and even helped to check my old circuit board when I shared that my unit had some experiences of blackouts during lightning storms. Will definitely employ their services again for any electrical works!
5,"Highly recom! Pay Less for more (GD SVC & QUALITY WORKS) vs Pay More for Less! Definately keeping them for future works again! Highly Professional with that Extra Mile Attitude! Reliable and Responsive. This is not just any company trying to he be Client-Centric motto, but providing cost affordable for all!"
5,Prompt replies and quick response. Would use again.
5,They asked to change my timing due to their earlier appt taking longer time than expected. Overall no issues for me.
5,Very efficient and an overall wonderful experience engaging their services.
5,I have contacted the company and they have sent Nicholas and Shakil within an hour! They arrived on time identified and fixed the issue promptly!
5,A group of friendly staff that assisted us with electrical wiring installation. They were responsive and patient with our queries.
5,No more trips after installation of new electric panel. Job well done and professional. Staff are friendly.
5,Ventilation Fan installed. Love it. Very professional.- Mr Shah - Woodlands
5,Efficiency and quick in ratifying my problem.
5,Good work. Fast installation and tidy.
5,Good work
5,The friendly team is very prompt in attending to my requests and efficient and skilfull on site in the installation works.
5,the team came in 10 minutes ahead of schedule and finished the job very quickly and efficiently.
5,"Upon making enquiries, got my appointment fixed for the next day! Came within the indicated time frame, done the job quick and clean, gave good technical advices and did not hard-sell any extra works. Love it!"
5,"I had engaged their services too change a ceiling light to LED. First of all, the process quoted were very reasonable and they even managed to come down on the same day. They turned up on time and completed the job in about 20mins. Professionally done."
5,"Compliments to the electrician (Hussien), who was assigned to my switch installation. Patient & professional. Good quality job"
5,Managed to seek help from Repair.sg to look at my parents broken socket. They are able to attend to the repair within an hour of call as the team happened to be around the area. Grateful for their urgent support and will contact them for any electrical issues in future.
5,Thumbs up. They provided root cause of the issue before performing the fixes. Very fast in the fixes and they're on time! Thanks!
5,"Thanks Repair.sg for helping us out with fan installation, lights and power outlets. Technician is patient in precautioning what damages may be done before executing the task at hand, eg needing to drill more holes in ceiling to remove the dead bolts. Overall, I am pleased with the entire installation they have done for my apartment. I am also pleased with the customer service and prompt replies."
5,"Very fast and good service, will work with Paul again"
5,"Power trip lasted 3 nights as first electrician failed. Contacted other electrician companies and Repair SG responded promptly, patiently and transparent with the cost/quote. Would recommend. Thank you Kai (whatsapp chat) and Rahaman (electrician)!"
5,very experienced. they were quick with fault identification and remedied the problem under 15 minutes! price is very reasonable.
5,Always get a Response from queries and were prompt. Appointment can be schedule fast .staff are punctual and get the job done.
5,Both Hossain and Kai are efficient and professional. Explained patiently on the fans function and gave good advice
5,Good service
5,"Circuit breaker was installed professionally. When we realised the position of the fan switch was moved too high and requested technician to help, he returned another day cheerfully to help us rectify the problem. Excellent service!"
5,Paul was very helpful and very accommodating with my last minute request . He was empathetic with my situation and immediately assist me . He made it very easy to deal with . Highly recommended . The staff that came to do the work were very helpful and easy . Not difficult and like Paul was as accommodating and give me advice accordingly. Such a joy to work with them . Will certainly be using them the next time too .
5,My problem was being attended by Amos and Rasel. They were very punctual and repair was done fast and professionally. I have been engaging with their company/services for all my electrical needs. They will be my choice when i have electrical problems. Yazid Woodlands
5,"Very responsive. Tried to contact a few electricians but only Repair.sg came back fast with a slot for me in a day. Pricing reasonable, professional and on time! Will use them as my go-to electrician from now on. Thumbs up!"
5,"They certainly know their stuff! Replaced my faulty wall socket with no fuss. Thanks Nicholas, Omar and Hossain for such a professional and friendly experience all round!"
5,Its really pleasure experience with them theyre really helpful and expert Really appreciate !!
5,Professional and reasonably priced. I will use their services again should there be any need to do so.
5,"Fast response, good quality work at a reasonable price"
5,Punctual in time n speedy work done.
5,Mr Omar was kind enough to re-position the wires because the manufacturer has placed the wires within the fans inaccurately. Mr Omar's colleague was observed to support him whenever necessary. The person who helped to coordinate for this to happen was always doing his/her best to give prompt replies. Thank you for going the extra mile! :)
5,"I recently had an electrical issue at my home and contacted Repair sg for assistance. I was impressed with their prompt response and professionalism from the start. The technician who helped me was knowledgeable, courteous, and went out of his way to fix the problem. I was particularly impressed with the level of care and attention to detail that the technician demonstrated throughout the repair process. He took the time to explain the issue to me and provided me with options for resolving it. Overall, I am extremely satisfied with the service that Repair sg provided and would highly recommend them to anyone in need of electrical repairs. Their commitment to customer service and quality workmanship is truly exceptional."
5,Service is good. The electrician that came was patient in explaining the issue and also gave advice to avoid similar issues in the future.
5,"Honestly Repair sg was not the first I contacted. I called Daylight but all I get was a cold msg saying they do not do power trip at this time no manpower. Ask them when will they be ready, was told dont know. Frustrated and anxious I called Repair sg. Paul arranged for Daryl and Kai to my place the next day! Daryl is a gem, it doesnt take him long to diagnose all my electrical problems which have been stressing me out for days. I have a few other small jobs that Daryl and Kai were kind enough to help get it done too. Paul arranged for Amos and Rasal to come by the following week to fix my ELR that has been causing the power trip. They were delayed by the job before but Amos was professional enough to call and inform me which was really nice. They came get the work done quickly and neatly. Tested my power and explain what happen and showed me the part that was faulty! I swear Daryl didnt even open up to know that it was faulty but he was able to diagnose the problem accurately wow. Seriously if u are looking for good service honest specialist electricians look no further. These are the boys to call. I dont hope to have the same prob in the near future but I am definitely joining their fan club! Kudos!"
5,"From quotation to service, it took only 1 day. The installation was as quick as 30mins from entry to exit of the venue. Lighting was from IKEA and the electrician from Repair.sg was very knowledgeable and skilled. Aftersales service was excellent too as I had some issue with the light. The team was responsive and the help rendered was appropriate and i resolved the issue within 10mins. Wonderful experience and the whole experience was remarkable. Price quoted was also very reasonable."
5,"Workmen who came to fix ceiling lights for me were polite, quick and efficient. Liaising with boss Mr Chew is also very easy, with quick replies and responsive scheduling."
5,Used repair.sg to installed several LED & ceiling lights . Very professional and responded on short notice too!
5,Friendly and competent electricians. Flexible about last minute changes. Very satisfied with their work.
5,Quick when messaging and came down really quick to help change my light switch.
5,"Responsive and fast..technicians friendly,polite and knowledgeable. Thanks amos"
5,Rasel is a polite n fast technician. glad it's him who attended to my case.
5,Fast and responsive. Able to fix my problem with minimum fuss!
5,Reliable and professional. I strongly recommend them. :)
5,Very friendly team and professional electrical works
5,"Very responsive, professional and fee is reasonable."
5,Replace existing downlight with new LED downright.
5,Electrical guys very friendly and professional
5,Professional and helpful. Punctual and fast
5,"quick, fuss free and reasonably priced!"
5,Fast response. Repair is done fast.
5,Very professional and quality work.
5,Very friendly and helpful team
5,Mess free and quick work.
5,Nice staff
5,I had a wonderful experience with this team. They are efficient and did extremely well doing the repairs. I would recommend them to all if you need fixing at your home.
5,"Fast, efficient, and friendly. Reasonably priced too. Surprised to have everything fixed within 3hrs from the time I found them online. Would recommend and use their services again."
5,"They were very responsive and quick to arrange for service. On service, I was serviced by Amos and Rasel, both of whom exhibited good professional and took time to explain the pricing and approach. On top of things, prices are reasonable. Recommended!"
5,"Amos, Nicholas & Rasel were prompt in their response and provided a high quality service with a smile. It was a delight to work with them!"
5,It's a good service just expect some delays as repair can take some time
5,"Washing machine stopped working as the power socket died on me early morning. Stressed, I had contacted quite afew electricians. Repair.sg is the most responsive and friendly. They also quoted me the most reasonable rate. They are able to send down their electricians on the same day to resolve my problem. 2 young but professional electricians came and fixed my problem within 15mins. Happy with their service. Recommended"
5,Prompt and efficient. Service staff courteous and explain their services when asked.
5,Efficient n fast service. Attention to details. Tidy up when done
5,Engaged their service to install ceiling lights. Thumbs up
5,Willing to explain on how to maintain the device.
5,"Im very pleased with their service. My condo ventilation exhaust fan for the toilet needed to be replaced. Upon query I was immediately attended to on WhatsApp and fixed an appointment within 5 mins. The crew (Omar & Lin) came 15 mins early and were very polite and professional. They checked the in-line ventilation system and advised me to change to a SystemAir ventilation fan. I believe its a Swedish brand. Job was completed in a timely manner and they showed me that it was working correctly! In fact its working much stronger than the original ventilation fan! But with the same low-noise level! Im impressed with the product and the services rendered! Well-done, truly well deserved! I wouldnt hesitate to approach them for any other repairs!"
5,Responses to enquires were quick. All 3 of them was polite and focused. Good job done. Time taken was lesser than i expected. No fuss.
5,They were very responsive to my request and able to come on site within next 4 hours. Problem.was fixed very swiftly! Ti's my second time.engaging their services! Always reliable and reasonable!
5,"On time, work done perfectly and most of all friendly... Thank you."
5,"Very professional, and arrive on time, and installation very fast"
5,"Responsive, friendly, on time and professional."
5,Rasel was very professional and explained the cause of the issue and recommended steps.
5,The repair man spent almost two hours checking light switches and fittings to identify the reason behind my main switch keep flipping off. Very professional job and have had no issues since.
5,Repaired my bathroom in line ventalation motor. Came the next day. After assessment had to do the repairs the day after due to need to cut false ceiling. Good and professional service.
5,"The serviceman that picked up my call is very patient with my explanation on my power trip problem. Due to Convid lock down, he still willing to impart his experiences with me remotely to resolve the problem. Thumb up for his professional attitude."
5,Extremely satisfied with the service provided by Nicholas and Rasel. Will recommend Repair.sg to anyone who needs to do electrical services.
5,Very responsive and helpful. Helped to solve the electricity problem on the phone by giving some instructions. Thank you!
5,Prompt and friendly service. Solved the issue quickly and effectively. Upfront with costs.
5,"Really thankful for the help Repair.sg provided! :) I am currently working at a children's charity Glyph Community, where we run non-academic enrichment classes for our beneficiaries. On Wednesday 8 June, the door switch of our centre door was spoilt, and thus, we could not open our centre. We had to turn away our beneficiaries as we were not able to enter the premises, and they were very disappointed that they could not participate in our holiday programmes. We reached out to as many electricians as we could, and Amos from Repair.sg came to our rescue. They were able to send down their technicians within an hour, and upon hearing about the work we do in our charity, they also kindly waived off the fees incurred. They sent Rasel, Nicholas and Omar down to our centre, and they were very efficient in replacing our switch for us. Our kids were very happy to be able to return to the centre for our holiday programmes the next day. We are really thankful for the service provided, as well as the generosity extended to us. We are really thankful for their support, it is their kindness and generosity extended to us, that keeps us and the community that we serve, going :D"
5,Engaged them to change a light switch. Electrician came within the agreed time and was very efficient in his job. Response to inquiries was fast too. Thanks!
5,The workmanship provided was very professional and communication was always prompt and courteous. Will recommend Repair.sg to anyone looking for an electrician. 5 stars!
5,First time called such a well-spoken and well-mannered electrician. Would have engaged his services if not for the cost.
5,"Quick response, technician sent knew what he was doing immediately and was efficient and quick in fixing the problem."
5,There was a short circuit in my house and I couldn't switch on the internal circuit breaker. The serviceman was very helpful and advised me to check out the external circuit breaker first before consulting their help for repairs (if I really need it). Honest and helpful serviceman. Recommended :)
5,"On time and quick and efficient with the job! Satisfied with the service done by Nicholas, Amos and Rasel."
5,"Im very pleased with the service.they are very professional.keeping things very clean. A group of very polite individual. When calling Paul for the service,his approach and tone were very warm and polite.so does his guys!! Very cheap and professional service. Once again,THANKYOU GUYS!"
5,The team is very helpful and friendly during the installation. Also share the general electrical related information with me.
5,"Had a power trip and couldnt figure out the issue and needed an electrician. Call them cause close to my place. The person I spoke to said they were closed but asked me a few questions to see if he can help me troubleshoot. Fixed the issue and also educated me. It was a 5mins conversation and thank you so much for your help. If I need electrician in the near future I will sure call your company to assist. Thank you for your time, compassion and professionalism."
5,"Happened to have engaged them twice so far. The first time for checking on and reinstalling a new toilet ventilation fan, as well as replacing a lighting. In retrospect, was pleasantly surprised by the quick response (including a quick diagnose/assessment). Amos and Rasel who came to work on it were also professional and friendly, and were open with my further queries. Just recently engaged them again to replace another 2 ceiling/hanging lamps at another place. This was also on pretty short notice and the contact person was again also pretty responsive (to be honest, had forgotten about them when i was googling to engage someone; also realised their pricing felt more reasonable than the initial company i checked with which also required a 2 week wait, upon their quotation). Also had them check/advise on some random loose wiring jutting out left behind from previous owner (which they said can help and no obligations). Amos and Rasel were also the ones who came this time. Believe they kept their cool and were reassuring, even though condo mgmt gave them a difficult time when they were coming in. Again they finished up quite quickly once they've properly assessed and confirmed on the positioning/adjustments. Also made it a point to make sure the exteriors were done up as well. They also helped to properly and safely isolate the loose wiring/connection, and they priced quite fairly on the spot. Pretty fast and fust-free once again. Payment was also easy with the PayNow option. Would def recommend them."
5,"My first time engaging their services. Communication was done through whatsapp. I shared my issue with Mark, the Operations Assistant. He was swift in answering my queries and provided his solutions/recommendations. I engaged their service to change 4 of my lights to LED. The work was done within 30 mins by two of their workers. Minimal mess. Payment also can be done digitally. With their efficiency and professionalism, I'm positive that I would call on their services again if there is a need in future!"
5,"Mark was really nice and helpful when i had a power trip while testing RCCB. As he couldn't arrange for someone to come over on the same day, he messaged with info on how i can try and recover it on my own. Really appreciate!! Thanks!"
5,"Service is good. Enquired via WhatsApp and response was prompt and polite, quotation was reasonable. A team of three came for the installation. Though young, they are professional, experienced and efficient. Happy with the service and the result!"
5,"Had a faulty lighting and contacted them via WhatsApp to see if they could rectify the issue. Mark was very responsive and patiently resolved my queries. Finally, they arranged a timing the very next day to replace the faulty lighting with a new LED light. The crew were very professional and quick to finish the installation. Overall very satisfied with the service."
5,On time and friendly service from the boss and the team
5,I am delighted with their prompt and courteous service and able to secure their technicians to fix water heater switch on the same day that I called. Quotation was given very quickly and my water heater was fixed.
5,I found repair sg on google ad. Amazing fast response from them. Contacted 2 others & got no response at all. Appt was fixed on the same day. Quotation was reasonable. Change & repair was done fast. Thanks to team Amos & Rasel. Both of them are polite & efficient.
5,Referred by IKEA. Service was very on time. The handyman are very friendly and helpful. Helped me clean the ceiling too per my request:)
