category,date,delay,duration,equipment,id,items,service,staff
electrician,2022-11-07,0,45,socket,105,1,Repair,1
electrician,2022-11-19,0,45,switch,106,1,Repair,1
electrician,2022-11-13,0,75,light,107,2,Repair,1
electrician,2022-11-08,0,120,switch,108,5,Repair,1
electrician,2022-11-30,0,60,light,109,1,Repair,1
electrician,2022-11-03,15,75,socket,110,3,Repair,1
electrician,2022-11-26,0,90,socket,111,4,Install,1
electrician,2022-11-28,0,120,switch,112,5,Install,1
electrician,2022-11-29,0,90,light,113,4,Install,1
electrician,2022-11-10,0,120,socket,114,4,Repair,1
electrician,2022-11-24,0,105,light,115,5,Repair,1
electrician,2022-11-01,0,45,light,116,1,Repair,1
electrician,2022-11-09,10,120,switch,117,5,Install,1
electrician,2022-11-22,0,60,switch,118,2,Repair,1
electrician,2022-11-11,15,105,switch,119,5,Repair,1
electrician,2022-11-29,0,60,switch,120,2,Repair,1
electrician,2022-11-04,5,60,circuit-breaker,121,2,Install,1
electrician,2022-11-26,15,45,switch,122,1,Install,1
electrician,2022-11-18,0,45,light,123,1,Install,1
electrician,2022-11-27,10,60,switch,124,2,Repair,1
electrician,2022-11-17,0,120,light,125,5,Install,1
electrician,2022-11-02,15,90,switch,126,4,Install,1
electrician,2022-11-12,0,45,circuit-breaker,127,1,Repair,1
electrician,2022-11-02,0,105,switch,128,4,Install,1
electrician,2022-11-28,5,75,switch,129,3,Repair,1
electrician,2022-11-02,0,105,light,130,5,Install,1
electrician,2022-11-05,0,75,switch,131,3,Repair,1
electrician,2022-11-15,5,90,socket,132,4,Install,1
electrician,2022-11-14,0,120,light,133,5,Install,1
electrician,2022-11-05,0,75,socket,134,3,Repair,1
electrician,2022-11-25,5,105,switch,135,5,Repair,1
electrician,2022-11-11,0,120,light,136,5,Install,1
electrician,2022-11-03,0,45,switch,137,1,Repair,1
electrician,2022-11-17,0,45,socket,138,1,Repair,1
electrician,2022-11-18,0,60,light,139,2,Repair,1
electrician,2022-11-13,15,90,switch,140,4,Repair,1
electrician,2022-11-25,10,105,switch,141,4,Repair,1
electrician,2022-11-24,5,75,switch,142,3,Repair,1
electrician,2022-11-14,10,75,switch,143,3,Install,1
electrician,2022-11-13,0,45,circuit-breaker,144,1,Repair,1
electrician,2022-11-30,0,120,light,145,5,Install,1
electrician,2022-11-21,5,90,switch,146,4,Install,1
electrician,2022-11-15,0,45,light,147,1,Repair,1
electrician,2022-11-15,5,90,switch,148,4,Repair,1
electrician,2022-11-01,5,105,switch,149,5,Repair,1
electrician,2022-11-21,10,75,light,150,3,Install,1
electrician,2022-11-13,5,105,switch,151,5,Install,1
electrician,2022-11-17,0,60,switch,152,2,Install,1
electrician,2022-11-10,5,60,switch,153,2,Repair,1
electrician,2022-11-14,0,90,switch,154,4,Install,1
electrician,2022-11-21,5,45,light,155,1,Install,1
electrician,2022-11-02,10,45,light,156,1,Repair,1
electrician,2022-11-11,10,60,switch,157,2,Repair,1
electrician,2022-11-20,0,75,light,158,3,Repair,1
electrician,2022-11-12,0,60,switch,159,2,Repair,1
electrician,2022-11-02,5,120,socket,160,5,Install,1
electrician,2022-11-26,0,60,light,161,2,Install,1
electrician,2022-11-12,10,90,socket,162,4,Install,1
electrician,2022-11-05,0,45,switch,163,1,Repair,1
electrician,2022-11-29,0,75,socket,164,3,Repair,1
electrician,2022-11-25,5,105,light,165,4,Repair,1
electrician,2022-11-27,10,120,switch,166,5,Install,1
electrician,2022-11-13,10,60,light,167,1,Repair,1
electrician,2022-11-09,0,90,light,168,4,Repair,1
electrician,2022-11-03,5,90,switch,169,4,Install,1
electrician,2022-11-25,0,45,light,170,1,Repair,1
electrician,2022-11-20,0,90,light,171,4,Repair,1
electrician,2022-11-13,0,60,socket,172,2,Install,1
electrician,2022-11-15,10,60,light,173,2,Repair,1
electrician,2022-11-11,0,105,socket,174,5,Repair,1
electrician,2022-11-14,0,75,switch,175,3,Repair,1
electrician,2022-11-10,0,45,socket,176,1,Repair,1
electrician,2022-11-14,0,60,light,177,2,Install,1
electrician,2022-11-12,0,45,socket,178,1,Repair,1
electrician,2022-11-12,5,75,light,179,3,Repair,1
electrician,2022-11-02,0,75,socket,180,3,Repair,1
electrician,2022-11-06,15,105,switch,181,5,Install,1
electrician,2022-12-17,0,60,switch,182,1,Repair,1
electrician,2022-12-17,0,105,light,183,4,Install,1
electrician,2022-12-06,5,105,switch,184,4,Install,1
electrician,2022-12-23,5,45,circuit-breaker,185,2,Repair,1
electrician,2022-12-10,15,45,light,186,1,Repair,1
electrician,2022-12-13,15,75,socket,187,2,Repair,1
electrician,2022-12-01,0,60,socket,188,3,Repair,1
electrician,2022-12-10,5,60,socket,189,2,Install,1
electrician,2022-12-08,0,120,socket,190,5,Install,1
electrician,2022-12-04,0,60,socket,191,2,Install,1
electrician,2022-12-08,5,45,switch,192,2,Repair,1
electrician,2022-12-18,10,45,light,193,1,Repair,1
electrician,2022-12-15,0,105,switch,194,5,Install,1
electrician,2022-12-06,10,105,socket,195,4,Install,1
electrician,2022-12-07,20,75,light,196,3,Repair,1
electrician,2022-12-11,5,45,circuit-breaker,197,1,Repair,1
electrician,2022-12-15,0,75,switch,198,2,Install,1
electrician,2022-12-04,5,60,switch,199,2,Repair,1
electrician,2022-12-06,5,90,light,200,4,Install,1
electrician,2022-12-25,0,60,switch,201,2,Repair,1
electrician,2022-12-13,15,60,light,202,2,Repair,1
electrician,2022-12-17,0,45,socket,203,2,Repair,1
electrician,2022-12-13,0,60,circuit-breaker,204,2,Repair,1
electrician,2022-12-20,0,45,light,205,1,Repair,1
electrician,2022-12-10,0,90,switch,206,4,Install,1
electrician,2022-12-18,0,60,circuit-breaker,207,3,Repair,1
electrician,2022-12-11,5,45,circuit-breaker,208,1,Repair,1
electrician,2022-12-02,0,90,socket,209,4,Repair,1
electrician,2022-12-25,10,120,switch,210,5,Repair,1
electrician,2022-12-25,5,120,socket,211,5,Repair,1
electrician,2022-12-02,0,105,socket,212,4,Repair,1
electrician,2022-12-08,0,45,light,213,1,Repair,1
electrician,2022-12-02,10,45,switch,214,2,Repair,1
electrician,2022-12-19,5,120,light,215,5,Install,1
electrician,2022-12-16,10,105,light,216,4,Repair,1
electrician,2022-12-19,15,90,switch,217,4,Install,1
electrician,2022-12-09,0,90,light,218,4,Install,1
electrician,2022-12-30,5,90,light,219,5,Install,1
electrician,2022-12-16,5,105,light,220,5,Repair,1
electrician,2022-12-18,0,75,socket,221,3,Repair,1
electrician,2022-12-08,0,60,light,222,2,Repair,1
electrician,2022-12-09,0,45,light,223,1,Install,1
electrician,2022-12-29,0,105,switch,224,5,Install,1
electrician,2022-12-06,5,120,light,225,5,Repair,1
electrician,2022-12-15,0,120,switch,226,5,Repair,1
electrician,2022-12-02,0,120,switch,227,5,Repair,1
electrician,2022-12-03,0,60,switch,228,2,Install,1
electrician,2022-12-21,15,60,switch,229,2,Repair,1
electrician,2023-01-24,0,90,socket,230,4,Repair,1
electrician,2023-01-21,10,75,switch,231,3,Repair,1
electrician,2023-01-01,20,60,light,232,2,Repair,1
electrician,2023-01-18,5,120,socket,233,5,Install,1
electrician,2023-01-23,10,45,socket,234,1,Repair,1
electrician,2023-01-20,0,75,light,235,3,Repair,1
electrician,2023-01-02,15,60,socket,236,2,Repair,1
electrician,2023-01-14,5,45,switch,237,1,Install,1
electrician,2023-01-29,5,75,light,238,3,Repair,1
electrician,2023-01-21,0,45,switch,239,1,Install,1
electrician,2023-01-21,0,90,light,240,4,Install,1
electrician,2023-01-22,0,90,socket,241,4,Repair,1
electrician,2023-01-16,15,105,light,242,4,Repair,1
electrician,2023-01-18,0,75,switch,243,2,Repair,1
electrician,2023-01-15,0,75,switch,244,3,Repair,1
electrician,2023-01-18,0,75,light,245,3,Repair,1
electrician,2023-01-08,0,45,switch,246,1,Repair,1
electrician,2023-01-13,0,90,switch,247,4,Repair,1
electrician,2023-01-19,0,120,light,248,5,Install,1
electrician,2023-01-04,0,75,light,249,3,Repair,1
electrician,2023-01-03,0,60,socket,250,2,Repair,1
electrician,2023-01-13,10,75,switch,251,3,Repair,1
electrician,2023-01-12,10,75,light,252,3,Repair,1
electrician,2023-01-15,5,120,switch,253,4,Repair,1
electrician,2023-01-25,5,75,light,254,3,Repair,1
electrician,2023-01-07,0,60,socket,255,1,Repair,1
electrician,2023-01-25,0,90,light,256,5,Install,1
electrician,2023-01-26,5,45,light,257,1,Repair,1
electrician,2023-01-24,0,90,light,258,4,Install,1
electrician,2023-02-25,5,105,light,259,5,Install,1
electrician,2023-02-11,0,60,light,260,2,Install,1
electrician,2023-02-04,5,45,circuit-breaker,261,1,Repair,1
electrician,2023-02-28,5,45,circuit-breaker,262,1,Repair,1
electrician,2023-02-06,15,45,light,263,2,Install,1
electrician,2023-02-11,0,120,light,264,5,Install,1
electrician,2023-02-07,10,105,socket,265,4,Install,1
electrician,2023-02-21,0,90,light,266,3,Install,1
electrician,2023-02-13,0,45,switch,267,1,Repair,1
electrician,2023-02-16,0,120,socket,268,5,Repair,1
electrician,2023-02-09,15,120,switch,269,5,Install,1
electrician,2023-02-13,10,120,light,270,5,Repair,1
electrician,2023-02-18,0,60,switch,271,2,Repair,1
electrician,2023-02-17,0,75,light,272,3,Repair,1
electrician,2023-02-21,10,120,light,273,5,Repair,1
electrician,2023-02-26,0,105,light,274,5,Repair,1
electrician,2023-02-05,0,60,socket,275,1,Repair,1
electrician,2023-02-06,0,105,socket,276,5,Repair,1
electrician,2023-02-12,5,45,switch,277,1,Repair,1
electrician,2023-02-18,10,75,switch,278,3,Repair,1
electrician,2023-02-19,5,45,socket,279,1,Repair,1
electrician,2023-02-05,5,105,light,280,5,Repair,1
electrician,2023-02-21,5,60,socket,281,2,Install,1
electrician,2023-02-25,10,45,socket,282,1,Repair,1
electrician,2023-02-23,0,105,light,283,5,Repair,1
electrician,2023-02-21,0,90,switch,284,3,Repair,1
electrician,2023-02-21,10,105,switch,285,5,Install,1
electrician,2023-02-27,10,90,switch,286,5,Repair,1
electrician,2023-02-02,0,120,switch,287,5,Install,1
electrician,2023-02-01,20,60,switch,288,1,Repair,1
electrician,2023-02-01,15,45,socket,289,1,Repair,1
electrician,2023-02-05,10,75,switch,290,3,Repair,1
electrician,2023-02-20,5,90,switch,291,4,Repair,1
electrician,2023-02-13,0,45,socket,292,1,Repair,1
electrician,2023-02-24,15,75,socket,293,3,Repair,1
electrician,2023-02-28,10,120,light,294,5,Install,1
electrician,2023-02-08,20,45,light,295,1,Repair,1
electrician,2023-02-05,5,75,switch,296,3,Install,1
electrician,2023-02-16,0,45,light,297,1,Install,1
electrician,2023-02-20,5,105,light,298,5,Install,1
electrician,2023-02-06,20,120,light,299,5,Install,1
electrician,2023-02-09,0,75,switch,300,3,Repair,1
electrician,2023-02-24,20,45,circuit-breaker,301,1,Repair,1
electrician,2023-02-02,0,75,light,302,3,Repair,1
electrician,2023-02-19,0,90,socket,303,4,Install,1
electrician,2023-02-23,20,60,socket,304,2,Install,1
electrician,2023-02-19,10,45,switch,305,1,Repair,1
electrician,2023-02-02,0,60,light,306,2,Repair,1
electrician,2023-02-16,0,60,light,307,3,Repair,1
electrician,2023-02-26,0,45,light,308,1,Repair,1
electrician,2023-02-09,0,90,socket,309,3,Install,1
electrician,2023-02-15,10,60,switch,310,2,Repair,1
electrician,2023-02-06,10,105,socket,311,5,Install,1
electrician,2023-02-13,5,75,light,312,3,Repair,1
electrician,2023-02-05,0,45,light,313,1,Install,1
electrician,2023-02-10,5,120,socket,314,4,Install,1
electrician,2023-02-02,0,60,switch,315,2,Repair,1
electrician,2023-02-02,0,60,light,316,2,Repair,1
electrician,2023-02-19,10,60,light,317,2,Repair,1
electrician,2023-03-06,0,105,light,318,4,Install,1
electrician,2023-03-05,0,90,light,319,4,Repair,1
electrician,2023-03-02,0,105,light,320,4,Install,1
electrician,2023-03-07,0,105,socket,321,4,Install,1
electrician,2023-03-03,5,90,switch,322,5,Install,1
electrician,2023-03-21,0,105,light,323,5,Install,1
electrician,2023-03-06,0,90,socket,324,4,Repair,1
electrician,2023-03-19,5,90,light,325,4,Repair,1
electrician,2023-03-09,0,75,socket,326,3,Repair,1
electrician,2023-03-12,15,120,light,327,5,Install,1
electrician,2023-03-12,5,75,switch,328,3,Repair,1
electrician,2023-03-22,10,45,light,329,1,Repair,1
electrician,2023-03-26,10,60,circuit-breaker,330,2,Install,1
electrician,2023-03-18,0,60,light,331,2,Repair,1
electrician,2023-03-05,0,75,switch,332,3,Repair,1
electrician,2023-03-03,0,105,light,333,4,Install,1
electrician,2023-03-07,0,105,socket,334,4,Install,1
electrician,2023-03-13,20,60,light,335,2,Repair,1
electrician,2023-03-17,20,90,switch,336,5,Repair,1
electrician,2023-03-31,0,105,switch,337,5,Install,1
electrician,2023-03-05,0,60,light,338,2,Repair,1
electrician,2023-03-01,5,45,light,339,1,Repair,1
electrician,2023-03-18,0,120,socket,340,5,Install,1
electrician,2023-03-06,10,90,switch,341,4,Install,1
electrician,2023-03-18,10,90,switch,342,4,Install,1
electrician,2023-03-23,5,90,socket,343,4,Repair,1
electrician,2023-03-18,0,75,socket,344,3,Repair,1
electrician,2023-03-04,0,90,switch,345,4,Install,1
electrician,2023-03-19,15,75,switch,346,3,Repair,1
electrician,2023-03-07,0,60,light,347,2,Install,1
electrician,2023-03-24,0,45,light,348,1,Repair,1
electrician,2023-03-01,0,45,switch,349,1,Repair,1
electrician,2023-03-23,0,75,light,350,3,Repair,1
electrician,2023-03-26,5,105,light,351,4,Repair,1
electrician,2023-03-09,0,45,light,352,1,Repair,1
electrician,2023-03-17,0,60,switch,353,2,Repair,1
electrician,2023-03-02,0,60,light,354,2,Install,1
electrician,2023-03-13,0,60,switch,355,2,Repair,1
electrician,2023-03-18,0,105,socket,356,4,Install,1
electrician,2023-03-31,0,120,socket,357,5,Install,1
electrician,2023-03-28,0,90,light,358,4,Repair,1
electrician,2023-03-14,15,120,light,359,5,Install,1
electrician,2023-03-25,0,75,light,360,3,Repair,1
electrician,2023-03-26,0,45,socket,361,1,Repair,1
electrician,2023-03-09,20,120,light,362,5,Install,1
electrician,2023-04-14,0,75,switch,363,3,Repair,1
electrician,2023-04-28,0,120,switch,364,5,Repair,1
electrician,2023-04-15,0,45,light,365,1,Repair,1
electrician,2023-04-17,10,75,light,366,3,Repair,1
electrician,2023-04-18,10,105,light,367,4,Repair,1
electrician,2023-04-16,5,90,light,368,4,Install,1
electrician,2023-04-09,5,45,socket,369,1,Repair,1
electrician,2023-04-26,0,105,switch,370,4,Install,1
electrician,2023-04-09,5,75,switch,371,3,Repair,1
electrician,2023-04-26,0,90,light,372,4,Install,1
electrician,2023-04-26,15,105,socket,373,4,Install,1
electrician,2023-04-03,0,45,switch,374,1,Install,1
electrician,2023-04-12,10,105,socket,375,5,Install,1
electrician,2023-04-17,0,45,light,376,1,Repair,1
electrician,2023-04-14,0,60,socket,377,2,Repair,1
electrician,2023-04-10,0,90,socket,378,4,Repair,1
electrician,2023-04-02,15,105,socket,379,4,Install,1
electrician,2023-04-12,0,105,switch,380,5,Repair,1
electrician,2023-04-11,0,90,light,381,4,Install,1
electrician,2023-04-15,0,60,socket,382,3,Repair,1
electrician,2023-04-02,15,45,socket,383,2,Repair,1
electrician,2023-04-05,10,105,socket,384,4,Install,1
electrician,2023-04-08,15,105,switch,385,5,Repair,1
electrician,2023-04-30,20,90,socket,386,4,Install,1
electrician,2023-04-17,0,75,switch,387,3,Repair,1
electrician,2023-04-09,0,45,circuit-breaker,388,2,Repair,1
electrician,2023-04-13,0,105,light,389,5,Install,1
electrician,2023-04-19,5,75,light,390,3,Repair,1
electrician,2023-04-01,0,60,switch,391,2,Install,1
electrician,2023-04-22,5,75,light,392,3,Install,1
electrician,2023-04-17,0,45,switch,393,1,Install,1
electrician,2023-04-05,0,45,light,394,1,Install,1
electrician,2023-04-11,0,45,light,395,1,Install,1
electrician,2023-04-22,0,75,switch,396,3,Repair,1
electrician,2023-04-27,5,105,socket,397,5,Install,1
electrician,2023-04-11,0,120,socket,398,5,Repair,1
electrician,2023-04-04,0,75,switch,399,3,Repair,1
electrician,2023-04-01,5,75,switch,400,2,Repair,1
electrician,2023-04-17,5,105,switch,401,4,Install,1
electrician,2023-04-26,0,60,light,402,2,Repair,1
electrician,2023-04-30,0,45,light,403,1,Repair,1
electrician,2023-04-02,0,75,switch,404,3,Repair,1
electrician,2023-04-05,20,75,socket,405,3,Repair,1
electrician,2023-04-23,0,60,light,406,2,Repair,1
electrician,2023-04-08,0,60,circuit-breaker,407,2,Install,1
electrician,2023-04-03,0,60,light,408,2,Repair,1
electrician,2023-04-19,0,60,socket,409,2,Repair,1
electrician,2023-04-06,10,60,switch,410,2,Repair,1
electrician,2023-04-04,10,105,switch,411,4,Install,1
electrician,2023-04-29,0,45,light,412,1,Repair,1
electrician,2023-04-30,5,45,switch,413,1,Repair,1
electrician,2023-04-29,10,75,light,414,3,Repair,1
electrician,2023-04-07,15,75,socket,415,3,Repair,1
electrician,2023-04-30,5,75,switch,416,2,Repair,1
electrician,2023-04-04,10,60,socket,417,1,Repair,1
electrician,2023-04-20,0,75,light,418,3,Repair,1
electrician,2023-04-16,10,60,socket,419,2,Repair,1
electrician,2023-04-17,5,105,switch,420,4,Repair,1
electrician,2023-04-30,15,45,light,421,1,Install,1
electrician,2023-04-03,0,60,light,422,2,Repair,1
electrician,2023-04-05,0,45,light,423,1,Repair,1
electrician,2023-04-14,10,75,socket,424,3,Install,1
electrician,2023-04-24,0,90,switch,425,4,Install,1
electrician,2023-04-27,0,60,switch,426,2,Repair,1
electrician,2023-04-21,0,60,circuit-breaker,427,2,Install,1
electrician,2023-04-13,0,45,light,428,1,Install,1
electrician,2023-04-20,10,105,light,429,4,Install,1
electrician,2023-04-21,0,45,light,430,1,Repair,1
electrician,2023-04-25,10,90,light,431,4,Repair,1
electrician,2023-04-09,5,120,switch,432,5,Repair,1
electrician,2023-04-28,10,75,light,433,3,Install,1
electrician,2023-04-30,0,60,light,434,2,Repair,1
electrician,2023-04-20,5,60,socket,435,2,Repair,1
electrician,2023-04-09,0,105,switch,436,5,Install,1
electrician,2023-04-12,0,75,socket,437,3,Repair,1
electrician,2023-04-15,0,60,light,438,2,Repair,1
electrician,2023-04-30,20,60,switch,439,2,Install,1
electrician,2023-04-05,20,90,light,440,3,Repair,1
electrician,2023-04-24,0,90,light,441,3,Install,1
electrician,2023-04-22,0,75,light,442,3,Install,1
electrician,2023-04-01,15,90,socket,443,4,Install,1
electrician,2023-04-20,0,120,light,444,5,Repair,1
electrician,2023-04-17,10,75,socket,445,3,Repair,1
electrician,2023-04-30,5,75,light,446,3,Repair,1
electrician,2023-04-21,0,45,switch,447,1,Repair,1
electrician,2023-04-22,15,75,switch,448,3,Repair,1
electrician,2023-04-25,0,120,switch,449,5,Install,1
electrician,2023-04-15,5,60,light,450,2,Install,1
electrician,2023-05-10,0,45,switch,451,1,Install,1
electrician,2023-05-09,10,120,light,452,5,Repair,1
electrician,2023-05-02,5,75,light,453,3,Install,1
electrician,2023-05-24,10,90,switch,454,4,Repair,1
electrician,2023-05-22,5,105,switch,455,4,Install,1
electrician,2023-05-08,5,45,switch,456,2,Repair,1
electrician,2023-05-11,0,45,switch,457,1,Repair,1
electrician,2023-05-02,10,45,light,458,1,Repair,1
electrician,2023-05-06,0,60,light,459,2,Install,1
electrician,2023-05-21,10,120,socket,460,5,Repair,1
electrician,2023-05-11,5,45,light,461,1,Install,1
electrician,2023-05-30,5,45,light,462,1,Repair,1
electrician,2023-05-30,5,75,light,463,3,Repair,1
electrician,2023-05-13,0,60,socket,464,1,Repair,1
electrician,2023-05-16,0,90,light,465,4,Install,1
electrician,2023-05-08,0,60,light,466,2,Install,1
electrician,2023-05-16,0,45,socket,467,1,Install,1
electrician,2023-05-16,20,105,socket,468,4,Install,1
electrician,2023-05-27,15,90,light,469,4,Install,1
electrician,2023-05-21,0,45,circuit-breaker,470,1,Repair,1
electrician,2023-05-18,5,120,light,471,5,Install,1
electrician,2023-05-05,15,90,light,472,5,Install,1
electrician,2023-05-11,5,60,switch,473,2,Repair,1
electrician,2023-05-26,0,90,light,474,4,Repair,1
electrician,2023-05-22,0,60,light,475,1,Repair,1
electrician,2023-05-28,10,105,switch,476,4,Install,1
electrician,2023-05-19,0,60,light,477,2,Repair,1
electrician,2023-05-09,5,105,socket,478,4,Install,1
electrician,2023-05-03,0,75,light,479,3,Repair,1
electrician,2023-05-17,15,45,switch,480,1,Repair,1
electrician,2023-05-06,10,105,switch,481,5,Repair,1
electrician,2023-05-14,0,45,switch,482,1,Repair,1
electrician,2023-05-02,0,105,switch,483,5,Repair,1
electrician,2023-05-20,10,45,socket,484,1,Repair,1
electrician,2023-06-30,5,105,light,485,5,Install,1
electrician,2023-06-18,5,75,light,486,3,Repair,1
electrician,2023-06-19,20,75,socket,487,3,Repair,1
electrician,2023-06-28,5,75,switch,488,3,Repair,1
electrician,2023-06-20,0,60,circuit-breaker,489,2,Repair,1
electrician,2023-06-21,0,90,light,490,4,Repair,1
electrician,2023-06-03,0,75,light,491,3,Install,1
electrician,2023-06-21,15,75,socket,492,3,Repair,1
electrician,2023-06-13,15,45,light,493,1,Install,1
electrician,2023-06-10,10,45,socket,494,1,Repair,1
electrician,2023-06-01,10,45,switch,495,1,Repair,1
electrician,2023-06-11,0,60,socket,496,2,Repair,1
electrician,2023-06-11,0,60,switch,497,2,Repair,1
electrician,2023-06-07,0,90,socket,498,4,Repair,1
electrician,2023-06-23,0,60,light,499,1,Repair,1
electrician,2023-06-19,0,45,light,500,1,Repair,1
electrician,2023-06-23,0,105,socket,501,5,Install,1
electrician,2023-06-28,0,45,switch,502,1,Repair,1
electrician,2023-06-13,15,90,light,503,5,Repair,1
electrician,2023-06-08,0,105,socket,504,5,Repair,1
electrician,2023-06-26,10,45,switch,505,1,Repair,1
electrician,2023-06-03,5,60,socket,506,2,Repair,1
electrician,2023-06-21,5,105,socket,507,5,Repair,1
electrician,2023-06-01,0,120,light,508,5,Repair,1
electrician,2023-06-17,0,75,switch,509,3,Repair,1
