id,date,category,duration,delay
434,2023-04-27,electrician,60,20
435,2023-04-05,electrician,90,0
436,2023-04-15,electrician,90,20
437,2023-04-12,electrician,60,20
438,2023-04-27,electrician,90,20
439,2023-04-07,electrician,60,0
440,2023-04-05,electrician,90,10
441,2023-04-25,electrician,60,30
442,2023-04-18,electrician,120,30
443,2023-04-26,electrician,90,0
444,2023-04-29,electrician,90,30
445,2023-04-01,electrician,75,20
446,2023-04-27,electrician,120,20
447,2023-04-18,electrician,75,10
448,2023-04-25,electrician,90,20
449,2023-04-30,electrician,90,20
450,2023-04-02,electrician,120,10
451,2023-05-12,electrician,90,30
452,2023-05-20,electrician,90,30
453,2023-05-27,electrician,60,30
454,2023-05-31,electrician,120,30
455,2023-05-16,electrician,75,30
456,2023-05-23,electrician,75,10
457,2023-05-16,electrician,60,30
458,2023-05-31,electrician,120,30
459,2023-05-16,electrician,120,30
460,2023-05-23,electrician,105,30
461,2023-05-26,electrician,75,10
462,2023-05-31,electrician,75,30
463,2023-05-15,electrician,60,30
464,2023-05-05,electrician,90,10
465,2023-05-09,electrician,105,20
466,2023-05-21,electrician,120,0
467,2023-05-15,electrician,60,10
468,2023-05-01,electrician,60,0
469,2023-05-29,electrician,90,20
470,2023-05-13,electrician,60,0
471,2023-05-06,electrician,105,10
472,2023-05-26,electrician,120,10
473,2023-05-03,electrician,105,0
474,2023-05-03,electrician,120,10
475,2023-05-15,electrician,105,0
476,2023-05-13,electrician,120,20
477,2023-05-05,electrician,90,30
478,2023-05-28,electrician,75,10
479,2023-05-11,electrician,75,30
480,2023-05-17,electrician,120,0
481,2023-05-10,electrician,75,30
482,2023-05-26,electrician,105,30
483,2023-05-30,electrician,60,10
484,2023-05-22,electrician,120,30
485,2023-06-28,electrician,105,20
486,2023-06-27,electrician,120,20
487,2023-06-29,electrician,75,30
488,2023-06-16,electrician,120,0
489,2023-06-09,electrician,60,30
490,2023-06-25,electrician,120,0
491,2023-06-04,electrician,105,0
492,2023-06-23,electrician,120,30
493,2023-06-01,electrician,120,20
494,2023-06-25,electrician,60,0
495,2023-06-01,electrician,60,10
496,2023-06-17,electrician,120,30
497,2023-06-27,electrician,105,20
498,2023-06-13,electrician,120,20
499,2023-06-13,electrician,105,10
500,2023-06-20,electrician,90,20
501,2023-06-17,electrician,90,0
502,2023-06-17,electrician,60,0
503,2023-06-15,electrician,75,0
504,2023-06-02,electrician,105,30
505,2023-06-07,electrician,75,20
506,2023-06-11,electrician,75,10
507,2023-06-02,electrician,60,20
508,2023-06-19,electrician,105,30
509,2023-06-02,electrician,75,30
510,2023-06-24,electrician,60,0
511,2023-06-28,electrician,120,0
512,2023-06-10,electrician,90,30
513,2023-06-20,electrician,90,30
514,2023-06-01,electrician,105,0
515,2023-06-17,electrician,60,0
516,2023-06-03,electrician,120,30
517,2023-06-28,electrician,75,30
518,2023-06-21,electrician,105,30
519,2023-06-19,electrician,75,20
520,2023-06-03,electrician,105,30
521,2023-06-25,electrician,75,10
522,2023-06-13,electrician,120,20
523,2023-06-28,electrician,120,30
524,2023-06-19,electrician,105,30
525,2023-06-08,electrician,75,20
526,2023-06-04,electrician,60,0
527,2023-06-11,electrician,120,0
528,2023-06-28,electrician,90,20
529,2023-06-14,electrician,105,20
530,2023-06-10,electrician,120,10
531,2023-06-06,electrician,105,0
532,2023-06-20,electrician,120,20
533,2023-06-16,electrician,75,20
534,2023-06-05,electrician,120,10
535,2023-06-22,electrician,90,30
536,2023-06-17,electrician,90,10
537,2023-06-11,electrician,75,10
538,2023-06-22,electrician,105,0
539,2023-07-20,electrician,120,20
540,2023-07-14,electrician,90,30
541,2023-07-11,electrician,105,0
542,2023-07-20,electrician,60,10
543,2023-07-30,electrician,75,0
544,2023-07-04,electrician,105,10
545,2023-07-13,electrician,105,30
546,2023-07-06,electrician,60,30
547,2023-07-08,electrician,60,20
548,2023-07-03,electrician,75,30
549,2023-07-03,electrician,90,10
550,2023-07-28,electrician,105,30
551,2023-07-27,electrician,75,10
552,2023-07-24,electrician,75,10
553,2023-07-14,electrician,105,30
554,2023-07-20,electrician,120,10
555,2023-07-27,electrician,60,0
556,2023-07-26,electrician,60,30
557,2023-07-02,electrician,120,0
558,2023-07-03,electrician,105,30
559,2023-07-09,electrician,90,0
560,2023-07-17,electrician,60,20
561,2023-07-30,electrician,75,10
562,2023-07-10,electrician,105,30
563,2023-07-29,electrician,90,20
564,2023-07-09,electrician,105,0
565,2023-07-19,electrician,60,20
566,2023-07-15,electrician,90,20
567,2023-07-25,electrician,90,10
568,2023-07-27,electrician,120,20
569,2023-07-15,electrician,105,10
570,2023-07-13,electrician,60,0
571,2023-07-03,electrician,90,0
572,2023-07-12,electrician,105,0
573,2023-07-26,electrician,120,10
574,2023-07-26,electrician,75,10
575,2023-07-23,electrician,120,10
576,2023-07-14,electrician,105,20
577,2023-07-26,electrician,90,0
578,2023-07-16,electrician,75,30
579,2023-07-06,electrician,75,20
580,2023-07-27,electrician,60,0
581,2023-07-27,electrician,60,0
582,2023-07-04,electrician,120,30
583,2023-07-18,electrician,90,30
584,2023-07-17,electrician,105,0
585,2023-07-27,electrician,75,20
586,2023-07-01,electrician,120,10
587,2023-07-21,electrician,60,20
588,2023-07-23,electrician,75,0
589,2023-07-29,electrician,60,10
590,2023-07-09,electrician,60,10
591,2023-07-18,electrician,105,30
592,2023-07-28,electrician,105,30
593,2023-07-11,electrician,90,30
594,2023-07-10,electrician,120,10
595,2023-07-22,electrician,75,10
596,2023-07-05,electrician,120,20
597,2023-07-21,electrician,105,10
598,2023-07-26,electrician,105,10
599,2023-07-26,electrician,90,0
600,2023-07-14,electrician,75,10
601,2023-07-21,electrician,60,30
602,2023-07-24,electrician,105,10
603,2023-07-15,electrician,60,10
604,2023-07-22,electrician,90,10
605,2023-08-25,electrician,120,0
606,2023-08-10,electrician,60,20
607,2023-08-19,electrician,60,20
608,2023-08-02,electrician,60,0
609,2023-08-11,electrician,90,30
610,2023-08-16,electrician,60,0
611,2023-08-22,electrician,75,20
612,2023-08-15,electrician,60,30
613,2023-08-10,electrician,90,30
614,2023-08-09,electrician,60,10
615,2023-08-27,electrician,60,30
616,2023-08-04,electrician,90,0
617,2023-08-28,electrician,90,30
618,2023-08-16,electrician,90,0
619,2023-08-11,electrician,90,30
620,2023-08-20,electrician,90,10
621,2023-08-14,electrician,60,0
622,2023-08-24,electrician,60,10
623,2023-08-10,electrician,120,30
624,2023-08-24,electrician,120,10
625,2023-08-27,electrician,120,10
626,2023-08-15,electrician,75,30
627,2023-08-29,electrician,105,10
628,2023-08-27,electrician,105,0
629,2023-08-30,electrician,90,10
630,2023-08-13,electrician,120,10
631,2023-08-13,electrician,75,30
632,2023-08-25,electrician,105,20
633,2023-08-13,electrician,120,0
634,2023-08-08,electrician,75,30
635,2023-08-15,electrician,60,20
636,2023-08-27,electrician,120,30
637,2023-08-05,electrician,105,0
638,2023-08-25,electrician,105,10
639,2023-08-02,electrician,105,30
640,2023-08-25,electrician,75,30
641,2023-08-10,electrician,120,0
642,2023-08-26,electrician,90,20
643,2023-08-14,electrician,75,0
644,2023-08-18,electrician,105,20
645,2023-08-29,electrician,75,10
646,2023-08-26,electrician,75,20
647,2023-08-30,electrician,120,10
648,2023-08-20,electrician,90,20
649,2023-08-01,electrician,75,30
650,2023-08-28,electrician,120,0
651,2023-08-13,electrician,90,30
652,2023-08-05,electrician,120,10
653,2023-08-27,electrician,90,30
654,2023-08-22,electrician,120,30
655,2023-08-10,electrician,75,0
656,2023-08-17,electrician,105,20
657,2023-08-24,electrician,60,30
658,2023-08-23,electrician,60,0
659,2023-08-22,electrician,60,20
660,2023-08-08,electrician,120,20
661,2023-08-19,electrician,90,10
662,2023-08-18,electrician,90,20
663,2023-08-15,electrician,60,30
664,2023-08-05,electrician,90,30
665,2023-08-05,electrician,120,20
666,2023-08-23,electrician,120,10
667,2023-08-17,electrician,90,0
668,2023-08-21,electrician,120,10
669,2023-08-17,electrician,90,0
670,2023-08-03,electrician,120,10
671,2023-08-06,electrician,120,10
672,2023-08-26,electrician,90,10
673,2023-08-08,electrician,105,10
674,2023-08-10,electrician,90,30
675,2023-08-30,electrician,90,20
676,2023-08-07,electrician,60,10
677,2023-08-10,electrician,105,30
678,2023-08-08,electrician,105,0
679,2023-08-06,electrician,75,0
680,2023-08-11,electrician,120,30
681,2023-08-26,electrician,75,10
682,2023-08-03,electrician,120,30
683,2023-08-09,electrician,120,0
684,2023-08-09,electrician,120,20
685,2023-08-13,electrician,60,20
686,2023-08-15,electrician,120,10
687,2023-08-01,electrician,75,0
688,2023-08-09,electrician,60,10
689,2023-08-29,electrician,75,10
690,2023-08-02,electrician,60,30
691,2023-08-10,electrician,105,20
692,2023-08-26,electrician,60,0
693,2023-08-18,electrician,105,30
694,2023-08-01,electrician,60,20
695,2023-08-18,electrician,105,30
696,2023-08-25,electrician,120,30
697,2023-08-09,electrician,60,0
698,2023-08-19,electrician,60,0
699,2023-08-23,electrician,120,10
700,2023-08-28,electrician,75,20
701,2023-08-18,electrician,90,20
702,2023-08-24,electrician,120,10
703,2023-08-13,electrician,75,20
704,2023-08-22,electrician,105,10
705,2023-08-23,electrician,120,0
706,2023-08-09,electrician,60,20
707,2023-09-20,electrician,105,20
708,2023-09-09,electrician,90,0
709,2023-09-04,electrician,120,10
710,2023-09-18,electrician,75,20
711,2023-09-05,electrician,60,30
712,2023-09-10,electrician,120,10
713,2023-09-16,electrician,75,10
714,2023-09-02,electrician,90,0
715,2023-09-19,electrician,75,10
716,2023-09-18,electrician,120,30
717,2023-09-07,electrician,90,30
718,2023-09-16,electrician,60,10
719,2023-09-08,electrician,105,0
720,2023-09-10,electrician,75,10
721,2023-09-20,electrician,60,10
722,2023-09-14,electrician,105,0
723,2023-09-05,electrician,120,20
724,2023-09-15,electrician,105,10
725,2023-09-14,electrician,90,30
726,2023-09-11,electrician,120,20
727,2023-09-11,electrician,75,20
728,2023-09-21,electrician,120,20
729,2023-09-12,electrician,90,20
730,2023-09-16,electrician,60,20
731,2023-09-01,electrician,120,10
732,2023-09-26,electrician,120,0
733,2023-09-08,electrician,60,10
734,2023-09-18,electrician,75,20
735,2023-09-18,electrician,90,20
736,2023-09-12,electrician,75,20
737,2023-09-14,electrician,105,20
738,2023-09-17,electrician,60,10
739,2023-09-10,electrician,90,0
740,2023-09-03,electrician,60,0
741,2023-09-10,electrician,75,20
742,2023-09-03,electrician,60,20
743,2023-09-22,electrician,120,0
744,2023-09-17,electrician,75,0
745,2023-09-23,electrician,120,0
746,2023-09-11,electrician,120,0
747,2023-09-17,electrician,75,0
748,2023-09-08,electrician,75,0
749,2023-09-20,electrician,90,30
750,2023-09-16,electrician,75,30
751,2023-09-29,electrician,120,0
752,2023-09-26,electrician,75,10
753,2023-09-06,electrician,120,20
754,2023-09-08,electrician,90,30
755,2023-09-14,electrician,60,0
756,2023-09-14,electrician,60,20
757,2023-09-08,electrician,90,30
758,2023-09-29,electrician,75,10
759,2023-09-17,electrician,90,0
760,2023-09-14,electrician,120,20
761,2023-09-05,electrician,60,10
762,2023-09-10,electrician,120,30
763,2023-10-01,electrician,75,10
764,2023-10-20,electrician,60,20
765,2023-10-01,electrician,105,20
766,2023-10-05,electrician,105,0
767,2023-10-13,electrician,60,20
768,2023-10-07,electrician,105,30
769,2023-10-17,electrician,90,30
770,2023-10-16,electrician,75,0
771,2023-10-04,electrician,60,10
772,2023-10-29,electrician,60,10
773,2023-10-08,electrician,105,30
774,2023-10-01,electrician,105,20
775,2023-10-26,electrician,75,30
776,2023-10-02,electrician,60,10
777,2023-10-09,electrician,120,20
778,2023-10-09,electrician,90,10
779,2023-10-07,electrician,60,10
780,2023-10-14,electrician,60,0
781,2023-10-18,electrician,120,0
782,2023-10-20,electrician,60,20
783,2023-10-25,electrician,90,30
784,2023-10-13,electrician,75,0
785,2023-10-13,electrician,60,20
786,2023-10-22,electrician,105,10
787,2023-10-13,electrician,120,10
788,2023-10-18,electrician,60,30
789,2023-10-12,electrician,60,0
790,2023-10-26,electrician,90,20
791,2023-10-29,electrician,120,30
792,2023-10-02,electrician,90,0
793,2023-10-14,electrician,75,0
794,2023-10-28,electrician,75,0
795,2023-10-24,electrician,120,0
796,2023-10-10,electrician,60,0
797,2023-10-22,electrician,60,10
798,2023-10-30,electrician,75,0
799,2023-10-06,electrician,75,20
800,2023-10-12,electrician,60,10
801,2023-10-31,electrician,90,0
802,2023-10-24,electrician,120,10
803,2023-10-20,electrician,105,20
804,2023-10-01,electrician,75,10
805,2023-10-10,electrician,75,20
806,2023-10-05,electrician,75,30
807,2023-10-18,electrician,75,30
808,2023-10-30,electrician,60,30
809,2023-10-21,electrician,75,10
810,2023-10-30,electrician,90,0
811,2023-10-01,electrician,60,0
812,2023-10-06,electrician,75,0
813,2023-10-24,electrician,120,10
814,2023-10-22,electrician,60,0
815,2023-10-18,electrician,105,30
816,2023-10-24,electrician,90,0
817,2023-10-17,electrician,75,10
818,2023-10-14,electrician,120,10
819,2023-10-05,electrician,90,10
820,2023-10-16,electrician,75,20
821,2023-10-01,electrician,90,0
822,2023-10-17,electrician,90,10
