Id,Date,Payment Method,Payment Duration
341,2022-11-07,Bank Transfer,7
342,2022-11-19,Bank Transfer,5
343,2022-11-18,PayNow,3
344,2022-11-11,Cash,0
345,2022-11-02,Cash,0
346,2022-11-14,Bank Transfer,3
347,2022-11-06,PayNow,5
348,2022-11-29,Cash,0
349,2022-11-17,Cash,0
350,2022-11-11,Cash,0
351,2022-11-23,PayNow,3
352,2022-11-04,Bank Transfer,3
353,2022-11-03,PayNow,7
354,2022-11-02,PayNow,5
355,2022-11-05,Cash,0
356,2022-11-27,PayNow,3
357,2022-11-09,PayNow,7
358,2022-11-14,PayNow,7
359,2022-11-12,PayNow,3
360,2022-11-24,Cash,0
361,2022-11-22,Cash,0
362,2022-11-27,PayNow,5
363,2022-11-19,Cash,0
364,2022-11-16,Cash,0
365,2022-11-10,PayNow,5
366,2022-11-04,Cash,0
367,2022-11-08,PayNow,3
368,2022-11-25,Cash,0
369,2022-11-09,Cash,0
370,2022-11-18,PayNow,3
371,2022-11-30,Cash,0
372,2022-11-01,Bank Transfer,5
373,2022-11-22,Bank Transfer,3
374,2022-11-02,Cash,0
375,2022-11-17,Cash,0
376,2022-11-06,PayNow,7
377,2022-11-30,PayNow,7
378,2022-11-01,Cash,0
379,2022-11-27,Cash,0
380,2022-11-06,PayNow,3
381,2022-11-09,PayNow,3
382,2022-11-11,PayNow,5
383,2022-11-08,PayNow,7
384,2022-11-04,PayNow,3
385,2022-11-21,Cash,0
386,2022-11-07,PayNow,5
387,2022-11-08,PayNow,7
388,2022-11-12,Cash,0
389,2022-11-06,PayNow,3
390,2022-11-13,PayNow,5
391,2022-11-03,PayNow,3
392,2022-11-16,Cash,0
393,2022-11-01,PayNow,7
394,2022-11-10,PayNow,3
395,2022-11-15,Cash,0
396,2022-11-18,Bank Transfer,10
397,2022-11-19,Cash,0
398,2022-11-23,PayNow,5
399,2022-11-03,Cash,0
400,2022-11-08,Bank Transfer,3
401,2022-11-29,Cash,0
402,2022-11-01,PayNow,3
403,2022-11-14,PayNow,3
404,2022-11-03,PayNow,5
405,2022-11-20,PayNow,3
406,2022-11-14,PayNow,3
407,2022-11-28,Cash,0
408,2022-11-02,PayNow,3
409,2022-11-22,PayNow,7
410,2022-11-08,Cash,0
411,2022-11-09,Bank Transfer,3
412,2022-11-14,Bank Transfer,3
413,2022-11-24,Cash,0
414,2022-11-22,Cash,0
415,2022-11-29,PayNow,7
416,2022-11-17,Bank Transfer,3
417,2022-11-15,Bank Transfer,5
418,2022-11-07,PayNow,7
419,2022-11-22,PayNow,5
420,2022-11-07,Cash,0
421,2022-11-18,PayNow,7
422,2022-11-19,PayNow,5
423,2022-11-17,PayNow,3
424,2022-11-16,Bank Transfer,3
425,2022-11-28,Bank Transfer,3
426,2022-11-10,PayNow,3
427,2022-11-23,PayNow,3
428,2022-11-18,PayNow,7
429,2022-11-18,PayNow,5
430,2022-11-17,Bank Transfer,3
431,2022-11-07,PayNow,5
432,2022-11-28,Cash,0
433,2022-11-25,PayNow,5
434,2022-11-19,Bank Transfer,5
435,2022-11-04,PayNow,7
436,2022-11-15,Bank Transfer,3
437,2022-11-08,Cash,0
438,2022-11-18,Cash,0
439,2022-11-03,Cash,0
440,2022-11-19,Cash,0
441,2022-11-07,Cash,0
442,2022-11-23,PayNow,3
443,2022-11-04,PayNow,5
444,2022-11-29,Bank Transfer,5
445,2022-11-16,PayNow,5
446,2022-11-22,PayNow,3
447,2022-11-18,Cash,0
448,2022-11-01,PayNow,5
449,2022-11-09,Cash,0
450,2022-11-26,PayNow,5
451,2022-11-17,PayNow,7
452,2022-11-09,Cash,0
453,2022-11-24,Cash,0
454,2022-11-29,PayNow,5
455,2022-11-08,PayNow,10
456,2022-11-16,Bank Transfer,3
457,2022-11-02,Cash,0
458,2022-11-25,Bank Transfer,3
459,2022-11-20,Cash,0
460,2022-11-09,Cash,0
461,2022-11-22,Bank Transfer,3
462,2022-11-20,PayNow,3
463,2022-11-11,Bank Transfer,5
464,2022-11-11,Bank Transfer,5
465,2022-11-16,PayNow,7
466,2022-11-20,PayNow,3
467,2022-11-17,Cash,0
468,2022-11-15,Bank Transfer,7
469,2022-11-04,Cash,0
470,2022-11-16,Cash,0
471,2022-11-07,Cash,0
472,2022-11-11,Cash,0
473,2022-11-14,PayNow,3
474,2022-11-17,PayNow,5
475,2022-11-22,PayNow,7
476,2022-11-26,PayNow,10
477,2022-11-13,Bank Transfer,3
478,2022-11-06,PayNow,7
479,2022-11-11,PayNow,3
480,2022-11-12,PayNow,3
481,2022-11-20,PayNow,3
482,2022-11-11,PayNow,3
483,2022-11-17,Cash,0
484,2022-11-25,PayNow,7
485,2022-11-09,PayNow,3
486,2022-11-30,Cash,0
487,2022-11-03,PayNow,3
488,2022-11-27,Cash,0
489,2022-11-20,PayNow,3
490,2022-11-07,Cash,0
491,2022-11-10,Cash,0
492,2022-11-15,Cash,0
493,2022-11-10,Cash,0
494,2022-11-03,Bank Transfer,10
495,2022-11-18,PayNow,7
496,2022-11-25,Cash,0
497,2022-11-27,Cash,0
498,2022-11-30,Bank Transfer,3
499,2022-11-29,Cash,0
500,2022-11-06,Cash,0
501,2022-11-25,Cash,0
502,2022-11-17,PayNow,7
503,2022-11-07,Cash,0
504,2022-11-17,Cash,0
505,2022-11-29,Bank Transfer,5
506,2022-11-03,Cash,0
507,2022-11-05,PayNow,3
508,2022-11-27,Bank Transfer,5
509,2022-11-24,PayNow,3
510,2022-11-21,Cash,0
511,2022-11-27,Cash,0
512,2022-11-24,Cash,0
513,2022-11-14,PayNow,5
514,2022-11-12,PayNow,3
515,2022-11-22,Cash,0
516,2022-11-14,Cash,0
517,2022-11-29,PayNow,3
518,2022-11-29,PayNow,3
519,2022-11-19,PayNow,7
520,2022-11-13,PayNow,3
521,2022-11-21,Cash,0
522,2022-11-13,PayNow,3
523,2022-11-18,Bank Transfer,5
524,2022-11-27,Bank Transfer,3
525,2022-11-28,PayNow,3
526,2022-11-28,PayNow,5
527,2022-11-30,PayNow,7
528,2022-11-10,Cash,0
529,2022-11-21,Bank Transfer,5
530,2022-11-20,PayNow,3
531,2022-11-23,Cash,0
532,2022-11-12,Cash,0
533,2022-11-02,Cash,0
534,2022-11-17,Bank Transfer,5
535,2022-11-08,Cash,0
536,2022-11-14,Cash,0
537,2022-11-29,PayNow,7
538,2022-11-07,PayNow,3
539,2022-11-10,PayNow,5
540,2022-11-08,Bank Transfer,3
541,2022-11-04,PayNow,3
542,2022-11-28,Cash,0
543,2022-11-28,PayNow,3
544,2022-11-27,PayNow,7
545,2022-11-13,PayNow,7
546,2022-11-08,Bank Transfer,7
547,2022-11-22,Cash,0
548,2022-11-17,PayNow,3
549,2022-11-22,PayNow,3
550,2022-11-23,Bank Transfer,3
551,2022-11-15,PayNow,3
552,2022-11-22,PayNow,5
553,2022-11-24,PayNow,5
554,2022-11-14,Cash,0
555,2022-11-09,Cash,0
556,2022-11-17,PayNow,3
557,2022-11-07,Cash,0
558,2022-11-03,PayNow,3
559,2022-11-16,Bank Transfer,5
560,2022-11-11,PayNow,3
561,2022-11-01,PayNow,5
562,2022-11-29,Cash,0
563,2022-11-25,Cash,0
564,2022-11-05,Cash,0
565,2022-11-10,Cash,0
566,2022-11-26,PayNow,3
567,2022-11-25,PayNow,7
568,2022-11-20,Cash,0
569,2022-11-02,Cash,0
570,2022-11-02,PayNow,3
571,2022-11-30,Bank Transfer,3
572,2022-11-01,PayNow,5
573,2022-11-10,PayNow,7
574,2022-11-11,Bank Transfer,5
575,2022-11-18,Bank Transfer,3
576,2022-11-22,PayNow,3
577,2022-11-19,Cash,0
578,2022-11-27,PayNow,3
579,2022-11-02,Cash,0
580,2022-11-15,PayNow,7
581,2022-11-20,PayNow,3
582,2022-11-06,PayNow,3
583,2022-11-03,Cash,0
584,2022-11-25,PayNow,3
585,2022-11-25,PayNow,5
586,2022-11-03,PayNow,5
587,2022-12-16,PayNow,5
588,2022-12-26,Bank Transfer,7
589,2022-12-15,PayNow,3
590,2022-12-30,PayNow,3
591,2022-12-23,Cash,0
592,2022-12-07,Cash,0
593,2022-12-12,PayNow,3
594,2022-12-04,Cash,0
595,2022-12-12,Bank Transfer,3
596,2022-12-22,Cash,0
597,2022-12-18,PayNow,3
598,2022-12-23,PayNow,5
599,2022-12-06,Cash,0
600,2022-12-09,PayNow,3
601,2022-12-04,Cash,0
602,2022-12-16,Cash,0
603,2022-12-04,Cash,0
604,2022-12-01,PayNow,3
605,2022-12-06,Cash,0
606,2022-12-11,PayNow,3
607,2022-12-05,Bank Transfer,5
608,2022-12-29,PayNow,3
609,2022-12-07,PayNow,7
610,2022-12-07,Cash,0
611,2022-12-11,PayNow,3
612,2022-12-23,Cash,0
613,2022-12-27,Cash,0
614,2022-12-27,PayNow,3
615,2022-12-28,Cash,0
616,2022-12-29,Bank Transfer,5
617,2022-12-04,Cash,0
618,2022-12-21,Cash,0
619,2022-12-01,PayNow,3
620,2022-12-10,PayNow,7
621,2022-12-04,PayNow,5
622,2022-12-11,PayNow,3
623,2022-12-29,Cash,0
624,2022-12-23,PayNow,3
625,2022-12-15,PayNow,5
626,2022-12-07,Cash,0
627,2022-12-11,PayNow,3
628,2022-12-11,PayNow,7
629,2022-12-14,PayNow,3
630,2022-12-14,PayNow,5
631,2022-12-02,PayNow,3
632,2022-12-09,Cash,0
633,2022-12-06,Cash,0
634,2022-12-10,Bank Transfer,3
635,2022-12-13,Bank Transfer,3
636,2022-12-08,Bank Transfer,5
637,2022-12-30,Cash,0
638,2022-12-05,Cash,0
639,2022-12-06,PayNow,3
640,2022-12-02,Bank Transfer,3
641,2022-12-05,Cash,0
642,2022-12-14,PayNow,3
643,2022-12-15,Bank Transfer,7
644,2022-12-18,PayNow,3
645,2022-12-07,PayNow,3
646,2022-12-24,PayNow,3
647,2022-12-28,Cash,0
648,2022-12-19,PayNow,5
649,2022-12-11,PayNow,5
650,2022-12-12,PayNow,5
651,2022-12-14,Bank Transfer,5
652,2022-12-28,Cash,0
653,2022-12-02,Bank Transfer,5
654,2022-12-21,PayNow,7
655,2022-12-04,Bank Transfer,7
656,2022-12-27,Cash,0
657,2022-12-18,PayNow,5
658,2022-12-20,Cash,0
659,2022-12-01,PayNow,3
660,2022-12-02,PayNow,3
661,2022-12-25,Cash,0
662,2022-12-12,Bank Transfer,3
663,2022-12-21,PayNow,5
664,2022-12-02,PayNow,5
665,2022-12-02,Bank Transfer,5
666,2022-12-16,PayNow,7
667,2022-12-15,PayNow,3
668,2022-12-17,Bank Transfer,3
669,2022-12-22,Cash,0
670,2022-12-05,Bank Transfer,3
671,2022-12-05,PayNow,5
672,2022-12-05,PayNow,5
673,2022-12-12,Cash,0
674,2022-12-22,PayNow,7
675,2022-12-06,Cash,0
676,2022-12-25,Cash,0
677,2022-12-07,PayNow,3
678,2022-12-16,Cash,0
679,2022-12-09,PayNow,3
680,2022-12-09,Cash,0
681,2022-12-16,Bank Transfer,7
682,2022-12-16,Cash,0
683,2022-12-18,PayNow,3
684,2022-12-12,PayNow,5
685,2022-12-30,PayNow,3
686,2022-12-14,PayNow,5
687,2022-12-09,PayNow,3
688,2022-12-28,PayNow,3
689,2022-12-23,PayNow,3
690,2022-12-26,Bank Transfer,3
691,2022-12-20,PayNow,3
692,2022-12-19,Bank Transfer,5
693,2022-12-27,PayNow,5
694,2022-12-18,Cash,0
695,2022-12-02,Cash,0
696,2022-12-01,Cash,0
697,2022-12-25,Cash,0
698,2022-12-03,Cash,0
699,2022-12-03,PayNow,7
700,2022-12-05,Cash,0
701,2022-12-24,Bank Transfer,5
702,2022-12-05,PayNow,7
703,2022-12-09,PayNow,5
704,2022-12-03,Bank Transfer,3
705,2022-12-18,PayNow,5
706,2022-12-05,Cash,0
707,2022-12-06,PayNow,5
708,2022-12-20,Cash,0
709,2022-12-27,Cash,0
710,2022-12-24,PayNow,3
711,2022-12-05,Cash,0
712,2022-12-15,Cash,0
713,2022-12-06,PayNow,3
714,2022-12-25,Cash,0
715,2022-12-16,PayNow,5
716,2022-12-25,Cash,0
717,2022-12-10,Bank Transfer,5
718,2022-12-03,Cash,0
719,2022-12-13,PayNow,5
720,2022-12-05,Cash,0
721,2022-12-29,PayNow,5
722,2022-12-01,PayNow,3
723,2022-12-04,Cash,0
724,2022-12-07,Cash,0
725,2022-12-22,Cash,0
726,2022-12-15,Bank Transfer,5
727,2022-12-21,Cash,0
728,2022-12-28,Cash,0
729,2022-12-13,PayNow,3
730,2022-12-12,Cash,0
731,2022-12-12,Cash,0
732,2022-12-14,Bank Transfer,3
733,2022-12-09,PayNow,3
734,2022-12-04,PayNow,5
735,2022-12-21,Cash,0
736,2022-12-05,Bank Transfer,5
737,2022-12-03,PayNow,3
738,2022-12-31,PayNow,3
739,2022-12-07,PayNow,5
740,2022-12-18,Bank Transfer,5
741,2022-12-29,PayNow,5
742,2022-12-15,Cash,0
743,2022-12-01,Cash,0
744,2022-12-16,Cash,0
745,2022-12-07,PayNow,7
746,2022-12-01,Cash,0
747,2022-12-10,PayNow,5
748,2022-12-11,Bank Transfer,3
749,2022-12-14,Cash,0
750,2022-12-21,Bank Transfer,3
751,2022-12-08,PayNow,3
752,2022-12-11,Bank Transfer,7
753,2022-12-16,PayNow,3
754,2022-12-13,Cash,0
755,2022-12-07,PayNow,3
756,2022-12-25,PayNow,3
757,2022-12-13,PayNow,5
758,2022-12-02,Cash,0
759,2022-12-22,PayNow,3
760,2022-12-25,PayNow,3
761,2022-12-29,Cash,0
762,2022-12-07,PayNow,3
763,2022-12-24,Cash,0
764,2022-12-23,Cash,0
765,2022-12-14,Cash,0
766,2022-12-29,PayNow,7
767,2022-12-03,PayNow,5
768,2022-12-02,Bank Transfer,5
769,2022-12-20,Cash,0
770,2022-12-17,Cash,0
771,2022-12-08,Bank Transfer,5
772,2022-12-22,Cash,0
773,2022-12-14,Cash,0
774,2022-12-13,Cash,0
775,2022-12-20,PayNow,5
776,2022-12-11,Cash,0
777,2022-12-05,Bank Transfer,3
778,2022-12-19,PayNow,5
779,2022-12-22,Cash,0
780,2022-12-12,Cash,0
781,2022-12-19,PayNow,5
782,2022-12-01,Cash,0
783,2022-12-06,PayNow,3
784,2022-12-06,PayNow,5
785,2022-12-08,Bank Transfer,3
786,2022-12-10,PayNow,3
787,2022-12-01,PayNow,3
788,2022-12-17,PayNow,5
789,2022-12-24,Cash,0
790,2022-12-15,PayNow,3
791,2022-12-31,PayNow,5
792,2022-12-17,PayNow,3
793,2022-12-28,PayNow,7
794,2022-12-10,Cash,0
795,2022-12-04,Cash,0
796,2022-12-02,PayNow,5
797,2022-12-09,PayNow,7
798,2022-12-31,PayNow,3
799,2022-12-01,Cash,0
800,2022-12-04,Cash,0
801,2022-12-20,PayNow,5
802,2022-12-26,Cash,0
803,2022-12-04,Cash,0
804,2022-12-18,Cash,0
805,2022-12-09,Cash,0
806,2022-12-31,PayNow,5
807,2022-12-03,PayNow,3
808,2022-12-03,Cash,0
809,2022-12-31,PayNow,3
810,2022-12-15,PayNow,5
811,2022-12-25,Cash,0
812,2022-12-05,Cash,0
813,2022-12-10,PayNow,5
814,2022-12-20,PayNow,5
815,2022-12-06,PayNow,5
816,2022-12-14,PayNow,3
817,2022-12-18,Cash,0
818,2022-12-11,Cash,0
819,2022-12-04,Cash,0
820,2022-12-02,PayNow,3
821,2022-12-23,PayNow,5
822,2022-12-01,Bank Transfer,3
823,2022-12-24,PayNow,3
824,2022-12-23,PayNow,3
825,2022-12-17,PayNow,5
826,2022-12-22,PayNow,3
827,2022-12-19,PayNow,7
828,2022-12-17,Cash,0
829,2022-12-03,PayNow,3
830,2022-12-09,PayNow,5
831,2022-12-01,PayNow,7
832,2022-12-30,PayNow,3
833,2022-12-27,PayNow,5
834,2022-12-11,Cash,0
835,2022-12-18,PayNow,3
836,2022-12-07,PayNow,7
837,2022-12-14,PayNow,7
838,2022-12-06,PayNow,7
839,2022-12-20,Cash,0
840,2022-12-07,Bank Transfer,7
841,2022-12-21,Bank Transfer,5
842,2022-12-26,PayNow,5
843,2022-12-26,PayNow,5
844,2022-12-21,PayNow,3
845,2022-12-22,Cash,0
846,2022-12-29,PayNow,3
847,2022-12-23,PayNow,7
848,2022-12-20,Cash,0
849,2022-12-02,PayNow,7
850,2022-12-20,Cash,0
851,2022-12-07,Cash,0
852,2022-12-09,Cash,0
853,2022-12-08,PayNow,7
854,2022-12-24,Cash,0
855,2022-12-18,Cash,0
856,2022-12-26,PayNow,3
857,2023-01-02,PayNow,5
858,2023-01-06,PayNow,5
859,2023-01-17,PayNow,3
860,2023-01-08,Cash,0
861,2023-01-05,PayNow,5
862,2023-01-07,PayNow,3
863,2023-01-08,Cash,0
864,2023-01-12,PayNow,5
865,2023-01-05,PayNow,3
866,2023-01-28,Cash,0
867,2023-01-28,Bank Transfer,5
